name,location,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,0,First,18.15 kmpl,1198 CC,82 bhp,5.0,,4.85
Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,1,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,28.0
Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,0,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,5.0
Maruti Alto LXi,Delhi,2008,90000,Petrol,0,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.25
Tata Nano LX SE,Kochi,2014,19698,Petrol,0,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,0,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.58
Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,0,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.74
Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,1,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,8.85
Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,1,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.11
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,0,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,4.25
Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,0,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,18.64 Lakh,10.95
Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,0,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3.85
Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,0,Second,16.55 kmpl,2498 CC,105 bhp,6.0,,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,1,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,21.43
Maruti Swift LDI,Delhi,2014,52000,Diesel,0,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25
Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,0,First,17.8 kmpl,1248 CC,75 bhp,5.0,,3.3
Maruti Swift VDI,Delhi,2013,65650,Diesel,0,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.85
Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,0,Third,18.9 kmpl,1197 CC,82 bhp,5.0,,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,0,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,3.99
Renault KWID RXT,Kochi,2017,16542,Petrol,0,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.3
Hyundai i10 Asta,Kolkata,2010,32000,Petrol,0,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.07
Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,1,First,13.29 kmpl,1995 CC,147.6 bhp,5.0,,7.75
Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,0,First,18.2 kmpl,998 CC,67.1 bhp,5.0,,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,0,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.34 Lakh,16.5
Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,0,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,1,First,11.74 kmpl,1796 CC,186 bhp,5.0,,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,0,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,10.0
Tata Indica V2 eLS,Chennai,2016,178000,Diesel,0,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2.5
Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,1,First,16.55 kmpl,1968 CC,140 bhp,5.0,,13.5
Honda City ZX CVT,Mumbai,2007,63000,Petrol,1,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,1.85
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,1,First,0.0 kmpl,1950 CC,194 bhp,5.0,49.14 Lakh,35.67
Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,0,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.15
Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,0,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,11.81 Lakh,10.5
Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,1,First,8.5 kmpl,4806 CC,500 bhp,5.0,,14.5
Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,0,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.65
Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,1,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.48
Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,0,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,16.65 Lakh,6.92
Honda Brio VX AT,Coimbatore,2016,37300,Petrol,1,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,6.46
Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,1,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,29.5
Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,0,First,17.8 kmpl,1399 CC,null bhp,5.0,,2.0
Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,0,Third,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,0,First,12.8 kmpl,2494 CC,102 bhp,7.0,,11.75
Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,0,First,0.0 kmpl,1086 CC,null bhp,5.0,,1.3
Maruti Swift VDI,Jaipur,2012,95100,Diesel,0,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3.75
Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,0,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.67 Lakh,4.5
Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,0,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.82
Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,0,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.8
Maruti Ritz VDi,Jaipur,2013,99638,Diesel,0,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.11
Honda City i VTEC E,Delhi,2009,52000,Petrol,0,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,3.25
BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,1,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,13.9
Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,0,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.25
Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,0,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75
Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,0,First,17.0 kmpl,1086 CC,null bhp,5.0,,2.1
Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,0,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.0
Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,0,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,16.5
Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,1,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,0,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.5
Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,0,First,15.1 kmpl,2179 CC,140 bhp,7.0,,8.1
Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,0,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,0,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.79
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,0,First,16.2 kmpl,1493 CC,110 bhp,5.0,,3.45
Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,0,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,4.45
Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,0,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,,2.65
Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,0,Second,23.0 kmpl,1396 CC,90 bhp,5.0,,3.8
Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,0,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,4.65
Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,0,First,19.83 kmpl,1198 CC,67 bhp,7.0,6.45 Lakh,3.95
Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,1,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,,9.8
Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,0,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,2.7
Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,0,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.41
Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,0,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,6.41 Lakh,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,1,Second,14.74 kmpl,2993 CC,270.9 bhp,5.0,,24.0
Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,0,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,1,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.25
Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,1,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,27 Lakh,19.25
Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,0,First,15.1 kmpl,1196 CC,73 bhp,5.0,5.13 Lakh,3.91
Tata Nano Twist XT,Bangalore,2014,25500,Petrol,0,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,2.15
BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,1,First,22.69 kmpl,1995 CC,190 bhp,5.0,54.43 Lakh,20.75
Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,0,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,0,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,11.11
Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,1,First,23.3 kmpl,1984 CC,150 bhp,5.0,,20.0
Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,1,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,9.51 Lakh,6.55
BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,1,First,10.8 kmpl,2497 CC,215 bhp,5.0,,7.0
Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,0,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.96 Lakh,7.5
Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,0,Second,17.0 kmpl,1086 CC,null bhp,5.0,,0.85
Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,1,Second,15.0 kmpl,2143 CC,107.3 bhp,5.0,,16.75
Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,0,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,14.44 Lakh,10.95
Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,0,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.45
Tata Nano XTA,Coimbatore,2017,32684,Petrol,1,First,21.9 kmpl,624 CC,37.48 bhp,4.0,,3.23
Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,0,First,12.05 kmpl,2179 CC,120 bhp,8.0,,7.75
Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,1,First,11.7 kmpl,1796 CC,178 bhp,5.0,,9.35
Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,0,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,3.25
Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,0,Second,10.8 kmpl,2354 CC,152 bhp,5.0,,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,1,First,21.21 kmpl,1498 CC,103.2 bhp,5.0,,7.25
Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,0,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,7.47
Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,1,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.25
Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,0,First,21.1 kmpl,1197 CC,85.80 bhp,5.0,,5.81
Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,0,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.53 Lakh,2.6
Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,1,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,95.04 Lakh,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,1,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,13.49 Lakh,11.5
Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,0,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.6
BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,1,First,20.58 kmpl,1995 CC,143 bhp,5.0,,17.22
Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,1,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,,6.0
Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,0,First,13.5 kmpl,1799 CC,130 bhp,5.0,,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,1,First,19.27 kmpl,2143 CC,170 bhp,5.0,,17.95
Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,0,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.7
Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,0,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,5.43
Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,0,Third,17.0 kmpl,1086 CC,null bhp,5.0,,1.67
Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,0,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.49
Chevrolet Beat LT Option,Pune,2014,38800,Petrol,0,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,,2.85
Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,0,First,21.14 kmpl,1498 CC,103.52 bhp,5.0,,4.75
Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,0,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,9.9
Audi RS5 Coupe,Mumbai,2013,23000,Petrol,1,First,11.05 kmpl,2894 CC,444 bhp,4.0,1.28 Cr,37.0
BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,1,First,21.76 kmpl,1995 CC,190 bhp,5.0,60.88 Lakh,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,Diesel,1,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,23.32
Maruti Swift VDI,Chennai,2016,35000,Diesel,0,First,22.9 kmpl,1248 CC,74 bhp,5.0,,6.25
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,Petrol,1,First,7.81 kmpl,5461 CC,362.9 bhp,5.0,,30.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,Diesel,1,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,Diesel,1,First,17.2 kmpl,1968 CC,138.1 bhp,5.0,,8.5
Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,0,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,4.23
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,Diesel,0,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,3.5
Datsun GO NXT,Kolkata,2016,6000,Petrol,0,First,20.63 kmpl,1198 CC,67.06 bhp,5.0,,2.5
Honda Brio S MT,Kolkata,2013,33280,Petrol,0,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,,2.39
Mercedes-Benz B Class B180,Delhi,2013,29000,Petrol,1,First,14.8 kmpl,1595 CC,120.7 bhp,5.0,,11.25
Honda City i DTEC V,Kochi,2015,42831,Diesel,0,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,Diesel,0,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,10.9
Maruti Swift VXI Optional,Ahmedabad,2017,24005,Petrol,0,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,6.2
Mahindra XUV500 W8 2WD,Mumbai,2012,32792,Diesel,0,First,15.1 kmpl,2179 CC,140 bhp,7.0,,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,Diesel,0,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,4.42
Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,Diesel,0,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,Diesel,1,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,,6.25
Ford Figo Diesel Titanium,Jaipur,2010,66123,Diesel,0,Second,20.0 kmpl,1399 CC,68 bhp,5.0,,2.1
BMW X5 xDrive 30d,Mumbai,2015,41000,Diesel,1,First,15.3 kmpl,2993 CC,258 bhp,5.0,,45.0
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,1,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,33.66
Honda Brio V MT,Bangalore,2012,45000,Petrol,0,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,,3.65
Hyundai i10 Magna 1.2,Delhi,2013,60000,Petrol,0,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.75
Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,1,First,17.9 kmpl,2143 CC,170 bhp,5.0,,42.5
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,0,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.39 Lakh,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Diesel,1,Second,17.68 kmpl,1968 CC,174.33 bhp,5.0,,19.0
Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Petrol,1,Second,14.4 kmpl,1598 CC,103.6 bhp,5.0,,4.45
Mini Countryman Cooper D,Jaipur,2017,8525,Diesel,1,Second,16.6 kmpl,1998 CC,112 bhp,5.0,,23.0
Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,0,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,Diesel,1,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,22.95
Chevrolet Beat Diesel LT,Jaipur,2012,88000,Diesel,0,First,25.44 kmpl,936 CC,57.6 bhp,5.0,,1.5
Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,Petrol,1,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Diesel,0,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,1.45
BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,1,First,22.48 kmpl,1995 CC,190 bhp,5.0,69.47 Lakh,33.5
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,Petrol,0,First,12.9 kmpl,1598 CC,102.5 bhp,5.0,,1.25
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,0,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.2
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,Diesel,0,First,19.98 kmpl,1461 CC,108.5 bhp,8.0,,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,Diesel,1,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,,32.0
Maruti Baleno Alpha,Kochi,2017,24773,Petrol,0,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,8.78 Lakh,7.5
Hyundai Verna 1.6 SX,Delhi,2012,62000,Diesel,0,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,4.6
Hyundai i10 Magna 1.1,Kochi,2017,52340,Petrol,0,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,4.04
Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,Diesel,0,First,15.4 kmpl,1997 CC,120 bhp,7.0,,10.31
Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,Diesel,1,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,55.76
Ford Figo Diesel ZXI,Chennai,2010,120000,Diesel,0,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.6
Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,0,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,12.74 Lakh,8.5
